,gmt,iata_code,country_iso2,geoname_id,latitude,longitude,city_name,timezone
0,-10,AAA,PF,,-17.05,-145.41667,Anaa,Pacific/Tahiti
1,10,AAB,AU,,-26.7,141.04167,Arrabury,Australia/Brisbane
2,2,AAC,EG,361546,31.133333,33.75,El Arish,Africa/Cairo
3,1,AAE,DZ,2506999,36.821392,7.811857,Annaba,Africa/Algiers
4,-6,AAF,US,4167695,29.733334,-84.98333,Apalachicola,America/Chicago
5,-3,AAG,BR,3471795,-24.103611,-49.79,Arapoti,America/Sao_Paulo
6,1,AAH,DE,3247449,50.775438,6.08151,Aachen,Europe/Berlin
7,-3,AAI,BR,,-12.916667,-46.933334,Arraias,America/Araguaina
8,-3,AAJ,SR,,3.9,-55.36667,Awaradam,America/Paramaribo
9,12,AAK,KI,,0.166667,173.58333,Aranuka,Pacific/Tarawa
10,1,AAL,DK,2624886,57.028811,9.917771,Aalborg,Europe/Copenhagen
11,2,AAM,ZA,954955,-24.8,31.533333,Mala Mala,Africa/Johannesburg
12,4,AAN,AE,292913,24.2075,55.744722,Al Ain,Asia/Dubai
13,-4,AAO,VE,3486270,9.431944,-64.46389,Anaco,America/Caracas
14,3,AAQ,RU,582182,44.9,37.316666,Anapa,Europe/Moscow
15,1,AAR,DK,2611664,56.162939,10.203921,Aarhus,Europe/Copenhagen
16,9,AAS,ID,,-3.916667,139.25,Apalapsili,Asia/Jayapura
17,8,AAT,CN,1529651,47.750362,88.08444,Altay,Asia/Shanghai
18,13,AAU,WS,4035092,-13.458333,-172.6,Asau,Pacific/Apia
19,8,AAV,PH,,6.333333,124.76667,Surallah,Asia/Manila
20,5,AAW,PK,,34.2,73.25,Abbottabad,Asia/Karachi
21,-3,AAX,BR,3471691,-19.568056,-46.92917,Araxa,America/Sao_Paulo
22,3,AAY,YE,,16.19596,52.173256,Al Ghaydah,Asia/Aden
23,-6,AAZ,GT,3599699,14.87,-91.5,Quetzaltenango,America/Guatemala
24,7,ABA,RU,1512236,53.716667,91.5,Abakan,Asia/Krasnoyarsk
25,,ABB,NG,2640729,51.666668,-1.283333,Asaba,Europe/London
26,1,ABC,ES,2522258,38.997652,-1.86007,Albacete,Europe/Madrid
27,3.30,ABD,IR,,30.363905,48.226597,Abadan,Asia/Tehran
28,-5,ABE,US,5178127,40.651573,-75.434364,Allentown,America/New_York
29,12,ABF,KI,,1.670833,173.30417,Abaiang,Pacific/Tarawa
30,10,ABG,AU,,-17.666668,143.2,Abingdon,Australia/Brisbane
31,10,ABH,AU,,-23.65,146.63333,Alpha,Australia/Brisbane
32,-6,ABI,US,4669635,32.448736,-99.733144,Abilene,America/Chicago
33,,ABJ,CI,2293538,5.254879,-3.933015,Abidjan,Africa/Abidjan
34,3,ABK,ET,,6.733889,44.26611,Kabri Dar,Africa/Addis_Ababa
35,-9,ABL,US,,67.0875,-157.84584,Ambler,America/Anchorage
36,10,ABM,AU,2177023,-10.942619,142.45033,Bamaga,Australia/Brisbane
